timestamp,instrument,confidence,device,source_type,fps,ram_usage_mb
2025-07-26 07:58:58,dulzaina,0.42,cpu,video_test,31.39,627.57
2025-07-26 07:58:58,dulzaina,0.38,cpu,video_test,28.05,627.57
2025-07-26 07:58:58,dulzaina,0.66,cpu,video_test,29.95,627.57
2025-07-26 07:58:58,dulzaina,0.26,cpu,video_test,30.32,627.57
2025-07-26 07:58:58,dulzaina,0.36,cpu,video_test,31.43,627.57
2025-07-26 07:58:58,dulzaina,0.56,cpu,video_test,29.90,627.57
2025-07-26 07:58:58,dulzaina,0.58,cpu,video_test,29.64,627.57
2025-07-26 07:58:58,dulzaina,0.61,cpu,video_test,29.52,627.57
2025-07-26 07:58:58,dulzaina,0.35,cpu,video_test,29.74,627.58
2025-07-26 07:58:58,dulzaina,0.29,cpu,video_test,29.74,627.58
2025-07-26 07:58:59,dulzaina,0.44,cpu,video_test,31.62,627.58
2025-07-26 07:58:59,dulzaina,0.34,cpu,video_test,29.82,627.57
2025-07-26 07:58:59,dulzaina,0.47,cpu,video_test,29.87,627.57
2025-07-26 07:58:59,dulzaina,0.32,cpu,video_test,31.32,627.58
2025-07-26 07:58:59,dulzaina,0.30,cpu,video_test,31.32,627.58
2025-07-26 07:58:59,dulzaina,0.26,cpu,video_test,31.42,627.58
2025-07-26 07:58:59,dulzaina,0.48,cpu,video_test,29.23,627.57
2025-07-26 07:58:59,dulzaina,0.29,cpu,video_test,27.65,627.52
2025-07-26 07:59:02,dulzaina,0.51,cpu,video_test,31.68,627.52
2025-07-26 07:59:02,dulzaina,0.52,cpu,video_test,28.01,627.52
2025-07-26 07:59:02,dulzaina,0.65,cpu,video_test,31.54,627.52
2025-07-26 07:59:02,dulzaina,0.78,cpu,video_test,31.74,627.52
2025-07-26 07:59:02,dulzaina,0.45,cpu,video_test,31.74,627.52
2025-07-26 07:59:02,dulzaina,0.77,cpu,video_test,28.27,627.52
2025-07-26 07:59:02,dulzaina,0.45,cpu,video_test,28.27,627.52
2025-07-26 07:59:02,dulzaina,0.58,cpu,video_test,31.34,627.52
2025-07-26 07:59:03,dulzaina,0.67,cpu,video_test,28.22,627.52
2025-07-26 07:59:03,dulzaina,0.65,cpu,video_test,31.43,627.52
2025-07-26 07:59:04,dulzaina,0.37,cpu,video_test,31.70,627.52
2025-07-26 07:59:04,dulzaina,0.37,cpu,video_test,31.17,627.52
2025-07-26 07:59:04,dulzaina,0.25,cpu,video_test,31.17,627.52
2025-07-26 07:59:04,dulzaina,0.50,cpu,video_test,31.11,627.52
2025-07-26 07:59:07,dulzaina,0.53,cpu,video_test,31.80,627.52
2025-07-26 07:59:07,dulzaina,0.28,cpu,video_test,31.80,627.52
2025-07-26 07:59:08,dulzaina,0.31,cpu,video_test,29.65,627.52
2025-07-26 07:59:08,dulzaina,0.31,cpu,video_test,31.41,627.52
2025-07-26 07:59:09,dulzaina,0.74,cpu,video_test,31.24,627.52
2025-07-26 07:59:09,bombo_andino,0.71,cpu,video_test,31.69,627.52
2025-07-26 07:59:09,bombo_andino,0.91,cpu,video_test,28.49,627.52
2025-07-26 07:59:09,bombo_andino,0.39,cpu,video_test,31.40,627.52
2025-07-26 07:59:09,bombo_andino,0.33,cpu,video_test,31.25,627.52
2025-07-26 07:59:10,bombo_andino,0.42,cpu,video_test,31.58,627.52
2025-07-26 07:59:10,bombo_andino,0.50,cpu,video_test,31.53,627.52
2025-07-26 07:59:10,bombo_andino,0.45,cpu,video_test,31.53,627.52
2025-07-26 07:59:10,bombo_andino,0.46,cpu,video_test,31.80,627.52
2025-07-26 07:59:10,bombo_andino,0.38,cpu,video_test,31.80,627.52
2025-07-26 07:59:10,bombo_andino,0.28,cpu,video_test,28.22,627.52
2025-07-26 07:59:10,bombo_andino,0.26,cpu,video_test,27.87,627.52
2025-07-26 07:59:10,bombo_andino,0.25,cpu,video_test,27.87,627.52
2025-07-26 07:59:10,bombo_andino,0.27,cpu,video_test,31.56,627.52
2025-07-26 07:59:10,bombo_andino,0.30,cpu,video_test,32.14,627.52
2025-07-26 07:59:10,bombo_andino,0.30,cpu,video_test,31.40,627.52
